mean_loss,epsilon
1.78858697414,0.999982
0.600937724113,0.9999343
0.210412248969,0.9999127
0.254555046558,0.9998902
0.509499013424,0.9998668
0.45100235939,0.9998443
0.532910645008,0.9997741
0.251021981239,0.9997525
0.421447992325,0.9997282
0.341044664383,0.9997039
0.305429846048,0.9996841
0.306727051735,0.9996535
0.474448472261,0.9996283
0.516676127911,0.999604
0.533478021622,0.999514
0.436342805624,0.9994933
0.523041665554,0.9994447
0.456621646881,0.9994231
0.375011444092,0.9993772
0.321245640516,0.9993538
0.55679255724,0.9993277
0.34309849143,0.9993079
0.470230311155,0.9992845
0.266356348991,0.9992305
0.456820726395,0.9992071
0.414693415165,0.9991873
0.610563933849,0.9991648
0.225602656603,0.999136
0.595074355602,0.9991144
0.759053587914,0.9990946
0.0997225120664,0.999073
0.395081877708,0.9990496
0.309042602777,0.9989821
0.536995887756,0.9989605
0.626947104931,0.9989326
0.419247716665,0.9988417
0.378062784672,0.9987922
0.089331060648,0.9987706
0.227330595255,0.9987508
0.41992866993,0.9987283
0.408194333315,0.9986203
0.569737911224,0.9985492
0.389983862638,0.9984574
0.42342787981,0.9984376
0.564220488071,0.9984151
0.428102433681,0.9983836
0.301078498363,0.9983584
0.430070281029,0.998335
0.313872277737,0.9983044
0.495970904827,0.9982846
0.380390614271,0.9982585
0.248957276344,0.9982369
0.13666677475,0.9982135
0.608748733997,0.9981937
0.349264830351,0.9981442
0.412319004536,0.9981091
0.244674682617,0.9980767
0.311213850975,0.9980281
0.309669196606,0.9979624
0.335434108973,0.9979417
0.288064926863,0.9979156
0.305285423994,0.9978895
0.373936027288,0.9978634
0.267025053501,0.9978436
0.20742867887,0.9978193
0.152797475457,0.9977968
0.300744593143,0.9977743
0.33151447773,0.9977437
0.383609950542,0.9977149
0.293135672808,0.9976933
0.187450453639,0.9976735
0.232804477215,0.9976519
0.387189954519,0.9976303
0.274335920811,0.9976105
0.170296981931,0.9975889
0.431348860264,0.9975628
0.377916008234,0.9975376
0.155918166041,0.9975142
0.366662889719,0.9974908
0.417312473059,0.9974674
0.341218918562,0.9974008
0.320613086224,0.9973711
0.351886123419,0.9972946
0.415297657251,0.9972739
0.333142101765,0.9972046
0.424118578434,0.9971137
